PERMNO,date,RET
10107,2016-09-30,0.002436
10107,2016-10-31,0.040278
10107,2016-11-30,0.012183
10107,2016-12-30,0.031198
10107,2017-01-31,0.040393
10107,2017-02-28,-0.004331
10107,2017-03-31,0.029384
10107,2017-04-28,0.039478
10107,2017-05-31,0.025854
10107,2017-06-30,-0.013030
10107,2017-07-31,0.054693
10107,2017-08-31,0.033838
10107,2017-09-29,-0.003745
10107,2017-10-31,0.116660
10107,2017-11-30,0.016951
10107,2017-12-29,0.016277
10107,2018-01-31,0.110708
10107,2018-02-28,-0.008631
10107,2018-03-29,-0.026661
10107,2018-04-30,0.024652
10107,2018-05-31,0.061377
10107,2018-06-29,-0.002327
10107,2018-07-31,0.075753
10107,2018-08-31,0.062877
10107,2018-09-28,0.018161
10107,2018-10-31,-0.066101
10107,2018-11-30,0.042505
10107,2018-12-31,-0.084047
10107,2019-01-31,0.028158
10107,2019-02-28,0.077181
10107,2019-03-29,0.052754
10107,2019-04-30,0.107343
10107,2019-05-31,-0.049464
10107,2019-06-28,0.083118
10107,2019-07-31,0.017244
10107,2019-08-30,0.015044
10107,2019-09-30,0.008487
10107,2019-10-31,0.031216
10107,2019-11-29,0.059427
10107,2019-12-31,0.041749
10107,2020-01-31,0.079455
10107,2020-02-28,-0.045292
10107,2020-03-31,-0.026541
10107,2020-04-30,0.136326
10107,2020-05-29,0.025389
10107,2020-06-30,0.110559
10107,2020-07-31,0.007371
10107,2020-08-31,0.102580
10107,2020-09-30,-0.067397
10107,2020-10-30,-0.037370
10107,2020-11-30,0.060058
10107,2020-12-31,0.039006
10107,2021-01-29,0.042892
10107,2021-02-26,0.004225
10107,2021-03-31,0.014588
10107,2021-04-30,0.069602
10107,2021-05-28,-0.007693
10107,2021-06-30,0.084989
10107,2021-07-30,0.051717
10107,2021-08-31,0.061528
10107,2021-09-30,-0.066119
10107,2021-10-29,0.176291
10107,2021-11-30,-0.001236
10107,2021-12-31,0.017333
10107,2022-01-31,-0.075345
10107,2022-02-28,-0.037205
10107,2022-03-31,0.031862
10107,2022-04-29,-0.099867
10107,2022-05-31,-0.018125
10107,2022-06-30,-0.055321
10107,2022-07-29,0.093097
10107,2022-08-31,-0.066432
10107,2022-09-30,-0.109267
10107,2022-10-31,-0.003306
10107,2022-11-30,0.102055
10107,2022-12-30,-0.060045
10107,2023-01-31,0.033317
10107,2023-02-28,0.009241
10107,2023-03-31,0.155882
10107,2023-04-28,0.065765
10107,2023-05-31,0.070982
10107,2023-06-30,0.036999
10107,2023-07-31,-0.013567
10107,2023-08-31,-0.022267
10107,2023-09-29,-0.036643
10107,2023-10-31,0.070815
10107,2023-11-30,0.122889
10107,2023-12-29,-0.007574
10107,2024-01-31,0.057281
10138,1999-01-29,0.067518
10138,1999-02-26,-0.157265
10138,1999-03-31,0.118864
10138,1999-04-30,0.096364
10138,1999-05-28,0.024876
10138,1999-06-30,-0.003883
10138,1999-07-30,-0.087948
10138,1999-08-31,-0.116071
10138,1999-09-30,-0.109899
10138,1999-10-29,0.293850
10138,1999-11-30,0.014085
10138,1999-12-31,0.029653
10138,2000-01-31,0.052453
10138,2000-02-29,-0.152733
10138,2000-03-31,0.203188
10138,2000-04-28,-0.034810
10138,2000-05-31,0.001639
10138,2000-06-30,0.116334
10138,2000-07-31,-0.038235
10138,2000-08-31,0.107034
10138,2000-09-29,0.040166
10138,2000-10-31,-0.002663
10138,2000-11-30,-0.220294
10138,2000-12-29,0.162072
10138,2001-01-31,-0.077264
10138,2001-02-28,-0.084936
10138,2001-03-30,-0.118389
10138,2001-04-30,0.110100
10138,2001-05-31,0.055524
10138,2001-06-29,0.023167
10138,2001-07-31,0.015245
10138,2001-08-31,-0.015016
10138,2001-09-28,-0.212356
10138,2001-10-31,-0.052560
10138,2001-11-30,0.141931
10138,2001-12-31,0.100631
10138,2002-01-31,0.082062
10138,2002-02-28,0.059340
10138,2002-03-28,-0.018086
10138,2002-04-30,-0.099152
10138,2002-05-31,0.029655
10138,2002-06-28,-0.085018
10138,2002-07-31,-0.177920
10138,2002-08-30,0.046615
10138,2002-09-30,-0.112054
10138,2002-10-31,0.131010
10138,2002-11-29,0.076160
10138,2002-12-31,-0.096445
10138,2003-01-31,-0.019795
10138,2003-02-28,-0.038145
10138,2003-03-31,0.061042
10138,2003-04-30,0.125369
10138,2003-05-30,0.202818
10138,2003-06-30,0.033506
10138,2003-07-31,0.072809
10138,2003-08-29,0.050839
10138,2003-09-30,-0.026538
10138,2003-10-31,-0.008479
10138,2003-11-28,0.027119
10138,2003-12-31,0.132255
10138,2004-01-30,0.100190
10138,2004-02-27,0.008244
10138,2004-03-31,0.027192
10138,2004-04-30,-0.047371
10138,2004-05-28,-0.060842
10138,2004-06-30,0.050457
10138,2004-07-30,-0.082937
10138,2004-08-31,0.071614
10138,2004-09-30,0.032304
10138,2004-10-29,0.094817
10138,2004-11-30,0.060785
10138,2004-12-31,0.055274
10138,2005-01-31,-0.037781
10138,2005-02-28,0.025731
10138,2005-03-31,-0.028995
10138,2005-04-29,-0.070899
10138,2005-05-31,0.081385
10138,2005-06-30,0.053134
10138,2005-07-29,0.059904
10138,2005-08-31,-0.050490
10138,2005-09-30,0.040159
10138,2005-10-31,0.003369
10138,2005-11-30,0.098138
10138,2005-12-30,0.005004
10138,2006-01-31,0.061086
10138,2006-02-28,0.004579
10138,2006-03-31,0.022271
10138,2006-04-28,0.076461
10138,2006-05-31,-0.060459
10138,2006-06-30,-0.040455
10138,2006-07-31,0.092568
10138,2006-08-31,0.066570
10138,2006-09-29,0.089196
10138,2006-10-31,-0.011285
10138,2006-11-30,-0.084126
10138,2006-12-29,0.014078
10138,2007-01-31,0.096185
10138,2007-02-28,-0.029596
10138,2007-03-30,0.017182
10138,2007-04-30,0.052765
10138,2007-05-31,0.033615
10138,2007-06-29,0.013827
10138,2007-07-31,0.004625
10138,2007-08-31,-0.015538
10138,2007-09-28,0.088465
10138,2007-10-31,0.153528
10138,2007-11-30,-0.042964
10138,2007-12-31,-0.005856
10138,2008-01-31,-0.169021
10138,2008-02-29,-0.001186
10138,2008-03-31,-0.005739
10138,2008-04-30,0.171200
10138,2008-05-30,-0.010929
10138,2008-06-30,-0.020891
10138,2008-07-31,0.059855
10138,2008-08-29,-0.008187
10138,2008-09-30,-0.091139
10138,2008-10-31,-0.263824
10138,2008-11-28,-0.134800
10138,2008-12-31,0.042970
